BIO/B,336.0,0.0,0.0,57,4.0,5,62,0.0,Missing Data
BIP^A,19.2,0.158,0.0,4,480.0,5,62,0.0,Missing Data
BIP^B,18.84,-0.303,0.0,4,5409.0,5,62,0.0,Missing Data
BIPH,17.92,-0.5,8267283978.0,7,14559.0,12,97,3.0,Missing Data
BIPI,18.14,-0.766,171910966.0,4,26259.0,1,77,2.0,Missing Data
BIPJ,25.72,-1.085,11865766960.0,7,16203.0,12,97,0.0,Missing Data
BKHAR,1.01,0.0,0.0,57,1.0,5,62,0.0,Missing Data
BLDEW,0.4553,-10.725,35656375.0,57,29249.0,1,144,5.0,Missing Data
BMEZ,15.64,-0.698,208528402.0,57,206288.0,4,146,4.0,Missing Data
BML^G,22.63,-1.308,0.0,57,3666.0,5,62,0.0,Missing Data
BML^H,22.8689,-0.136,0.0,57,10808.0,5,62,0.0,Missing Data
BML^J,23.94,-0.126,0.0,57,12177.0,5,62,0.0,Missing Data
BML^L,24.3007,-0.325,0.0,57,8926.0,5,62,0.0,Missing Data
BNAIW,0.02,21.951,758635.0,57,1000.0,10,47,3.0,Missing Data
BNH,18.11,-1.683,27306203018.0,7,9943.0,9,25,4.0,Missing Data
BNIXR,0.09,-9.639,0.0,57,1100.0,4,20,3.0,Missing Data
BNIXW,0.022,-20.863,0.0,57,520.0,4,20,3.0,Missing Data
BNJ,16.8354,-0.294,25384365008.0,7,9282.0,9,25,4.0,Missing Data
BNZIW,0.0071,1.429,41785.0,57,5000.0,10,34,3.0,Missing Data
BOCNW,0.0226,-13.077,0.0,57,12110.0,4,20,2.0,Missing Data
BOH^A,16.4701,-1.73,0.0,57,25002.0,5,62,0.0,Missing Data
BOH^B,26.54,-0.226,0.0,57,8402.0,5,62,0.0,Missing Data
BOWNR,0.17,12.508,0.0,57,18557.0,5,62,1.0,Missing Data
BPOPM,25.89,0.0,1846115783.0,57,100.0,4,74,0.0,Missing Data
BPYPM,16.25,-1.175,14646840813.0,4,33409.0,4,124,0.0,Missing Data
BRACR,0.1651,40.511,0.0,57,23696.0,4,20,2.0,Missing Data
BRIA,3.77,-1.05,0.0,18,35431.0,1,7,0.0,Missing Data
BRK/A,706600.0,-1.296,1039319568400.0,57,2055.0,5,62,0.0,Missing Data
BRK/B,471.12,-1.301,1039437413106.0,57,2426996.0,5,62,0.0,Missing Data
BRKHW,0.25,25.0,0.0,57,294233.0,4,20,2.0,Missing Data
BSII,9.88,0.1,0.0,23,28783.0,5,62,0.0,Missing Data
BSIIU,10.2,0.99,0.0,23,25616.0,4,20,0.0,Missing Data
BSIIW,0.6,53.846,0.0,23,19632.0,4,20,0.0,Missing Data
